id,year,team_id,playoffs
1,2008,23,1
2,2009,23,1
3,2010,23,1
4,2011,23,1
5,2012,23,1
6,2013,23,1
7,2014,23,1
8,2015,23,1
9,2016,23,1
10,2017,23,1
11,2018,23,1
12,2008,9,1
13,2009,9,1
14,2010,9,1
15,2011,9,0
16,2012,9,1
17,2013,9,0
18,2014,9,0
19,2015,9,0
20,2016,9,0
21,2017,9,0
22,2018,9,1
23,2008,25,1
24,2009,25,1
25,2010,25,0
26,2011,25,1
27,2012,25,1
28,2013,25,1
29,2014,25,1
30,2015,25,1
31,2016,25,1
32,2017,25,1
33,2018,25,0
34,2008,12,1
35,2009,12,1
36,2010,12,1
37,2011,12,1
38,2012,12,1
39,2013,12,0
40,2014,12,1
41,2015,12,0
42,2016,12,1
43,2017,12,0
44,2018,12,1
45,2008,14,0
46,2009,14,0
47,2010,14,0
48,2011,14,0
49,2012,14,0
50,2013,14,1
51,2014,14,0
52,2015,14,1
53,2016,14,1
54,2017,14,0
55,2018,14,0
56,2008,5,1
57,2009,5,1
58,2010,5,1
59,2011,5,1
60,2012,5,0
61,2013,5,1
62,2014,5,1
63,2015,5,1
64,2016,5,0
65,2017,5,1
66,2018,5,0
67,2008,27,1
68,2009,27,0
69,2010,27,1
70,2011,27,0
71,2012,27,1
72,2013,27,1
73,2014,27,0
74,2015,27,1
75,2016,27,0
76,2017,27,1
77,2018,27,0
78,2008,4,1
79,2009,4,1
80,2010,4,1
81,2011,4,1
82,2012,4,1
83,2013,4,1
84,2014,4,1
85,2015,4,0
86,2016,4,0
87,2017,4,1
88,2018,4,1
89,2008,26,0
90,2009,26,0
91,2010,26,1
92,2011,26,1
93,2012,26,0
94,2013,26,0
95,2014,26,0
96,2015,26,0
97,2016,26,0
98,2017,26,0
99,2018,26,0
100,2008,19,0
101,2009,19,0
102,2010,19,0
103,2011,19,0
104,2012,19,0
105,2013,19,1
106,2014,19,0
107,2015,19,0
108,2016,19,0
109,2017,19,1
110,2018,19,1
111,2008,7,1
112,2009,7,1
113,2010,7,1
114,2011,7,1
115,2012,7,1
116,2013,7,1
117,2014,7,0
118,2015,7,1
119,2016,7,1
120,2017,7,1
121,2018,7,1
122,2008,13,0
123,2009,13,1
124,2010,13,0
125,2011,13,0
126,2012,13,0
127,2013,13,0
128,2014,13,0
129,2015,13,0
130,2016,13,0
131,2017,13,0
132,2018,13,0
133,2008,22,0
134,2009,22,0
135,2010,22,0
136,2011,22,0
137,2012,22,1
138,2013,22,0
139,2014,22,0
140,2015,22,0
141,2016,22,1
142,2017,22,0
143,2018,22,0
144,2008,20,0
145,2009,20,0
146,2010,20,0
147,2011,20,1
148,2012,20,0
149,2013,20,0
150,2014,20,1
151,2015,20,1
152,2016,20,1
153,2017,20,0
154,2018,20,1
155,2008,31,1
156,2009,31,1
157,2010,31,1
158,2011,31,1
159,2012,31,1
160,2013,31,1
161,2014,31,1
162,2015,31,1
163,2016,31,1
164,2017,31,0
165,2018,31,0
166,2008,24,1
167,2009,24,0
168,2010,24,1
169,2011,24,1
170,2012,24,1
171,2013,24,0
172,2014,24,0
173,2015,24,1
174,2016,24,1
175,2017,24,1
176,2018,24,1
177,2008,2,0
178,2009,2,1
179,2010,2,1
180,2011,2,1
181,2012,2,1
182,2013,2,1
183,2014,2,1
184,2015,2,1
185,2016,2,1
186,2017,2,1
187,2018,2,0
188,2008,15,0
189,2009,15,1
190,2010,15,0
191,2011,15,0
192,2012,15,0
193,2013,15,0
194,2014,15,1
195,2015,15,0
196,2016,15,0
197,2017,15,1
198,2018,15,1
199,2008,3,0
200,2009,3,1
201,2010,3,0
202,2011,3,0
203,2012,3,1
204,2013,3,1
205,2014,3,1
206,2015,3,1
207,2016,3,1
208,2017,3,1
209,2018,3,0
210,2008,30,1
211,2009,30,0
212,2010,30,0
213,2011,30,0
214,2012,30,0
215,2013,30,1
216,2014,30,1
217,2015,30,1
218,2016,30,1
219,2017,30,1
220,2018,30,1
221,2008,1,1
222,2009,1,0
223,2010,1,1
224,2011,1,0
225,2012,1,0
226,2013,1,0
227,2014,1,1
228,2015,1,0
229,2016,1,0
230,2017,1,0
231,2018,1,1
232,2008,11,1
233,2009,11,1
234,2010,11,0
235,2011,11,0
236,2012,11,0
237,2013,11,0
238,2014,11,0
239,2015,11,1
240,2016,11,0
241,2017,11,1
242,2018,11,0
243,2008,21,0
244,2009,21,0
245,2010,21,0
246,2011,21,0
247,2012,21,0
248,2013,21,0
249,2014,21,0
250,2015,21,0
251,2016,21,0
252,2017,21,1
253,2018,21,0
254,2008,6,0
255,2009,6,1
256,2010,6,1
257,2011,6,1
258,2012,6,1
259,2013,6,1
260,2014,6,0
261,2015,6,1
262,2016,6,0
263,2017,6,0
264,2018,6,0
265,2008,28,1
266,2009,28,1
267,2010,28,1
268,2011,28,1
269,2012,28,1
270,2013,28,1
271,2014,28,1
272,2015,28,0
273,2016,28,1
274,2017,28,1
275,2018,28,1
276,2008,10,1
277,2009,10,1
278,2010,10,0
279,2011,10,1
280,2012,10,0
281,2013,10,1
282,2014,10,1
283,2015,10,1
284,2016,10,1
285,2017,10,1
286,2018,10,1
287,2008,29,1
288,2009,29,0
289,2010,29,0
290,2011,29,0
291,2012,29,0
292,2013,29,0
293,2014,29,1
294,2015,29,0
295,2016,29,1
296,2017,29,0
297,2018,29,0
298,2008,8,0
299,2009,8,0
300,2010,8,1
301,2011,8,1
302,2012,8,1
303,2013,8,0
304,2014,8,0
305,2015,8,0
306,2016,8,0
307,2017,8,0
308,2018,8,0
309,2008,17,0
310,2009,17,0
311,2010,17,1
312,2011,17,1
313,2012,17,1
314,2013,17,1
315,2014,17,1
316,2015,17,0
317,2016,17,1
318,2017,17,0
319,2018,17,1
320,2012,16,0
321,2013,16,0
322,2014,16,0
323,2015,16,1
324,2016,16,0
325,2017,16,0
326,2018,16,1
327,2018,18,1
